interval,totalcontainers,newcontainers,deployed,migrations,inqueue
121,354,3,3,3,0
122,359,5,5,5,0
123,361,2,2,2,0
124,364,3,3,3,0
125,367,3,3,3,0
126,370,3,3,3,0
127,373,3,3,3,0
128,376,3,3,3,0
129,379,3,3,3,0
130,380,1,1,1,0
131,384,4,4,4,0
132,386,2,2,2,0
133,389,3,3,3,0
134,393,4,4,4,0
135,394,1,1,1,0
136,399,5,5,5,0
137,402,3,3,3,0
138,405,3,3,3,0
139,410,5,5,5,0
140,412,2,2,2,0
141,414,2,2,2,0
142,416,2,2,2,0
143,419,3,3,3,0
144,422,3,3,3,0
145,425,3,3,3,0
146,428,3,3,3,0
147,432,4,4,4,0
148,434,2,2,2,0
149,439,5,5,5,0
150,441,2,2,2,0
151,444,3,3,3,0
152,448,4,4,4,0
153,449,1,1,1,0
154,454,5,5,5,0
155,457,3,3,3,0
156,460,3,3,3,0
157,463,3,3,3,0
158,466,3,3,3,0
159,468,2,2,2,0
160,471,3,3,3,0
161,474,3,3,3,0
162,479,5,5,5,0
163,483,4,4,4,0
164,487,4,4,4,0
165,490,3,3,3,0
166,491,1,1,1,0
167,493,2,2,2,0
168,496,3,3,3,0
169,499,3,3,3,0
170,501,2,2,2,0
171,505,4,4,4,0
172,509,4,4,4,0
173,511,2,2,2,0
174,513,2,2,2,0
175,518,5,5,5,0
176,521,3,3,3,0
177,524,3,3,3,0
178,526,2,2,2,0
179,529,3,3,3,0
180,531,2,2,2,0
181,534,3,3,3,0
182,537,3,3,3,0
183,541,4,4,4,0
184,544,3,3,3,0
185,547,3,3,3,0
186,549,2,2,2,0
187,553,4,4,4,0
188,557,4,4,4,0
189,559,2,2,2,0
