criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, None, sqrt, 100, 2, 1000, 0.348 , 2.0min
gini, None, sqrt, 100, 10, 500, 0.336 , 1.0min
gini, None, sqrt, 100, 20, 200, 0.338 ,  22.9s
gini, None, log2, 1, 2, 200, 0.641 ,  35.4s
gini, None, log2, 1, 2, 200, 0.586 ,  31.5s
gini, None, log2, 1, 2, 1000, 0.620 , 2.6min
gini, None, log2, 1, 10, 1000, 0.661 , 2.6min
gini, None, log2, 5, 2, 500, 0.549 , 1.3min
gini, None, log2, 5, 5, 500, 0.550 , 1.3min
gini, None, log2, 5, 10, 200, 0.574 ,  28.7s
gini, None, log2, 5, 10, 1000, 0.575 , 2.5min
gini, None, log2, 20, 2, 1000, 0.532 , 2.3min
gini, None, log2, 20, 10, 200, 0.526 ,  26.3s
gini, None, log2, 20, 20, 200, 0.538 ,  31.7s
gini, None, None, 1, 5, 200, 0.670 , 1.3min
gini, None, None, 1, 5, 500, 0.627 , 3.1min
gini, None, None, 1, 10, 200, 0.688 , 1.3min
gini, None, None, 1, 10, 500, 0.662 , 3.1min
gini, None, None, 1, 20, 500, 0.636 , 3.0min
gini, None, None, 5, 2, 200, 0.627 , 1.2min
gini, None, None, 5, 2, 1000, 0.685 , 5.8min
gini, None, None, 5, 10, 1000, 0.608 , 5.8min
gini, None, None, 20, 2, 500, 0.575 , 2.7min
gini, None, None, 20, 5, 500, 0.561 , 2.7min
gini, None, None, 20, 10, 200, 0.555 , 1.1min
gini, None, None, 20, 10, 1000, 0.558 , 5.3min
gini, None, None, 50, 2, 1000, 0.531 , 5.1min
gini, None, None, 50, 10, 500, 0.528 , 2.5min
gini, None, None, 50, 20, 200, 0.519 , 1.0min
gini, None, None, 50, 20, 1000, 0.523 , 5.0min
gini, None, None, 100, 5, 1000, 0.480 , 4.6min
gini, None, None, 100, 20, 500, 0.470 , 2.4min
gini, None, sqrt, 1, 2, 500, 0.584 , 1.4min
gini, None, sqrt, 1, 5, 200, 0.636 ,  35.6s
gini, None, sqrt, 1, 5, 1000, 0.649 , 2.6min
gini, None, sqrt, 1, 20, 500, 0.574 , 1.3min
gini, None, sqrt, 5, 2, 500, 0.569 , 1.3min
gini, None, sqrt, 5, 5, 200, 0.558 ,  28.3s
gini, None, sqrt, 5, 5, 1000, 0.591 , 2.5min
gini, None, sqrt, 5, 20, 1000, 0.568 , 2.5min
gini, None, sqrt, 20, 5, 500, 0.526 , 1.2min
gini, None, sqrt, 20, 10, 500, 0.532 , 1.2min
gini, None, sqrt, 20, 20, 200, 0.520 ,  26.9s
gini, None, sqrt, 20, 20, 1000, 0.525 , 2.3min
gini, None, sqrt, 50, 5, 1000, 0.470 , 2.1min
gini, None, sqrt, 50, 20, 500, 0.456 , 1.1min
gini, None, sqrt, 100, 2, 500, 0.333 , 1.0min
gini, None, sqrt, 100, 5, 200, 0.332 ,  23.5s
gini, None, sqrt, 100, 10, 200, 0.327 ,  27.4s
gini, None, sqrt, 100, 10, 200, 0.329 ,  24.3s
gini, None, sqrt, 100, 10, 1000, 0.342 , 2.0min
gini, None, log2, 1, 2, 500, 0.656 , 1.3min
gini, None, log2, 1, 5, 500, 0.590 , 1.4min
gini, None, log2, 1, 10, 200, 0.659 ,  31.2s
gini, None, log2, 1, 10, 1000, 0.644 , 2.6min
gini, None, log2, 5, 2, 1000, 0.550 , 2.6min
gini, None, log2, 5, 10, 500, 0.607 , 1.3min
gini, None, log2, 5, 20, 500, 0.571 , 1.3min
gini, None, log2, 20, 2, 500, 0.526 , 1.2min
gini, None, log2, 20, 5, 500, 0.529 , 1.2min
gini, None, log2, 20, 10, 500, 0.536 , 1.2min
gini, None, None, 1, 2, 1000, 0.665 , 6.0min
gini, None, None, 1, 10, 1000, 0.680 , 6.1min
gini, None, None, 5, 2, 1000, 0.609 , 5.9min
gini, None, None, 5, 10, 200, 0.631 , 1.2min
gini, None, None, 5, 20, 200, 0.657 , 1.3min
gini, None, None, 5, 20, 200, 0.608 , 1.2min
gini, None, None, 5, 20, 1000, 0.658 , 5.8min
gini, None, None, 20, 5, 500, 0.553 , 2.8min
gini, None, None, 20, 10, 200, 0.562 , 1.1min
gini, None, None, 20, 20, 200, 0.564 , 1.2min
gini, None, None, 20, 20, 200, 0.562 , 1.1min
gini, None, None, 20, 20, 1000, 0.561 , 5.5min
gini, None, None, 50, 5, 500, 0.524 , 2.5min
gini, None, None, 50, 10, 500, 0.525 , 2.6min
gini, None, None, 50, 20, 500, 0.529 , 2.6min
gini, None, None, 100, 2, 200, 0.469 ,  55.8s
gini, None, None, 100, 2, 1000, 0.469 , 4.7min
gini, None, None, 100, 10, 1000, 0.475 , 4.7min
gini, None, sqrt, 1, 2, 500, 0.619 , 1.4min
gini, None, sqrt, 1, 5, 500, 0.589 , 1.4min
